Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
End User Browser,Client,external,WebsiteBucket,S3 (static website),ap-southeast-2,GET (HTTP),Medium,4,Public bucket — re-host as Azure Storage static website or SWA,Frontend SPA delivery
End User Browser,Client,external,ImageUploadApi,API Gateway,ap-southeast-2,HTTPS SigV4,Critical,3,SigV4 client signing — Azure equivalent is Entra ID bearer token or Function key,Auth model change required
WebsiteBucket,S3,ap-southeast-2,image-upload-api-user,IAM User,global,uses access key,High,3,Static IAM access key embedded in client is insecure — migrate to Entra ID user flow or API key,Security debt
image-upload-api-user,IAM User,global,ImageUploadApi,API Gateway,ap-southeast-2,execute-api:Invoke,High,3,Map to Azure API Management subscription key or Entra ID app reg,Auth identity migration
ImageUploadApi,API Gateway,ap-southeast-2,UploadFunction,Lambda,ap-southeast-2,AWS_PROXY invoke,Critical,2,Replace with APIM->Functions or Functions HTTP trigger,POST /upload route
ImageUploadApi,API Gateway,ap-southeast-2,ListFilesFunction,Lambda,ap-southeast-2,AWS_PROXY invoke,Critical,2,Replace with APIM->Functions or Functions HTTP trigger,GET /files route
ImageUploadApi,API Gateway,ap-southeast-2,GetViewUrlFunction,Lambda,ap-southeast-2,AWS_PROXY invoke,Critical,2,Replace with APIM->Functions or Functions HTTP trigger,GET /files/{fileId}/view-url route
ImageUploadApi,API Gateway,ap-southeast-2,DeleteFileFunction,Lambda,ap-southeast-2,AWS_PROXY invoke,Critical,2,Replace with APIM->Functions or Functions HTTP trigger,DELETE /files/{fileId} route
ImageUploadApi,API Gateway,ap-southeast-2,ApiGatewayCloudWatchLogsRole,IAM Role,global,assume,Low,2,Replaced by App Insights / Diagnostic Settings,Logging role
UploadFunction,Lambda,ap-southeast-2,LambdaExecutionRole,IAM Role,global,assume,High,1,Map to User-Assigned Managed Identity with Storage Blob Data Contributor,Identity migration
ListFilesFunction,Lambda,ap-southeast-2,LambdaExecutionRole,IAM Role,global,assume,High,1,Map to User-Assigned Managed Identity with Storage Blob Data Contributor,Identity migration
GetViewUrlFunction,Lambda,ap-southeast-2,LambdaExecutionRole,IAM Role,global,assume,High,1,Map to User-Assigned Managed Identity with Storage Blob Data Contributor,Identity migration
DeleteFileFunction,Lambda,ap-southeast-2,LambdaExecutionRole,IAM Role,global,assume,High,1,Map to User-Assigned Managed Identity with Storage Blob Data Contributor,Identity migration
UploadFunction,Lambda,ap-southeast-2,ImageBucket,S3,ap-southeast-2,generate presigned PUT URL,Critical,2,Azure equivalent: User Delegation SAS via Blob client + MI,Core upload flow
ListFilesFunction,Lambda,ap-southeast-2,ImageBucket,S3,ap-southeast-2,list_objects_v2 + presigned URLs,Critical,2,Azure equivalent: list_blobs + User Delegation SAS,Listing flow
GetViewUrlFunction,Lambda,ap-southeast-2,ImageBucket,S3,ap-southeast-2,head + presigned GET URL,Critical,2,Azure equivalent: User Delegation SAS for read,View flow
DeleteFileFunction,Lambda,ap-southeast-2,ImageBucket,S3,ap-southeast-2,delete_object,Critical,2,Azure equivalent: BlobClient.delete_blob,Delete flow
End User Browser,Client,external,ImageBucket,S3,ap-southeast-2,PUT/GET via presigned URL (direct),Critical,3,Direct browser->Blob using SAS URL works the same in Azure,No proxy through compute
UploadFunction,Lambda,ap-southeast-2,CloudWatch Logs,Logs,ap-southeast-2,write,Low,5,Map to Application Insights / Log Analytics,Telemetry
ListFilesFunction,Lambda,ap-southeast-2,CloudWatch Logs,Logs,ap-southeast-2,write,Low,5,Map to Application Insights / Log Analytics,Telemetry
GetViewUrlFunction,Lambda,ap-southeast-2,CloudWatch Logs,Logs,ap-southeast-2,write,Low,5,Map to Application Insights / Log Analytics,Telemetry
DeleteFileFunction,Lambda,ap-southeast-2,CloudWatch Logs,Logs,ap-southeast-2,write,Low,5,Map to Application Insights / Log Analytics,Telemetry
ImageUploadApi,API Gateway,ap-southeast-2,X-Ray,Tracing,ap-southeast-2,emit traces,Low,5,Map to Application Insights distributed tracing,Tracing
CloudFormation Stack image-upload,CloudFormation,ap-southeast-2,all 33 resources,All,ap-southeast-2,manages,High,1,Replace with Bicep or Terraform — see Phase 3a,IaC source of truth at source-app/app-code/template.yaml
